,Name,CID,Melting Point
12528,4-Bromoisoquinoline,[73743],41.5 °C
12529,Tridecan-3-one,[73751],31.0 °C
12530,Heliotridine hydrochloride,[203851],119.5 °C
12531,"2,3,4,5,6-Pentafluorobenzophenone",[73755],37.0 °C
12532,"Heptanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoro-",[15243],34.0 °C
12533,"Propane, 2-(methylthio)-",[15246],-101.5 °C
12534,"Acetamide, N-acetyl-N-phenyl-",[137083],37.5 °C
12535,"Phenol, 4-methoxy-2-nitro-",[15285],79.0 °C
12536,Folescutol [INN:DCF],[5390105],232.0 °C
12537,Spiropentane,[9088],-134.6 °C
12538,5-Hexenoic acid,[15308],-37.0 °C
12539,"2,4-Difluorobenzoic acid",[74102],189.0 °C
12540,Indole-5-carbonitrile,[27513],107.0 °C
12541,"Cyclohexanol, 1-phenyl-",[15319],63.5 °C
12542,2-Naphthalenemethanol,[74128],81.3 °C
12543,4-Methoxy-1-naphthalaldehyde,[85217],34.8 °C
12544,"1,1,3,3,3-Pentafluoro-1,2,2-trichloropropane",[15335],-4.3 °C
12545,2-Amino-4-methylthiazole,[74143],45.5 °C
12546,Bolasterone,[102146],146.0 °C
12547,"Pyridine, 2,3,5-trichloro-",[27666],49.0 °C
12548,"Cyclobutanecarboxylic acid, 1-((4-nitrophenyl)sulfonyl)-, 1-methylethyl ester",[86461],65.5 °C
12549,"Cyclohexanecarboxylic acid, 1-((4-nitrophenyl)sulfonyl)-, 1-methylethyl ester",[86462],110.5 °C
12550,"Cycloheptanecarboxylic acid, 1-((4-nitrophenyl)sulfonyl)-, 1-methylethyl ester",[86463],83.5 °C
12551,"Cyclobutanecarboxylic acid, 1-((4-bromophenyl)sulfonyl)-, methyl ester",[86464],95.0 °C
12552,"Cyclopentanecarboxylic acid, 1-((4-bromophenyl)sulfonyl)-, methyl ester",[93548],103.5 °C
12553,"Cyclohexanecarboxylic acid, 1-((4-bromophenyl)sulfonyl)-, methyl ester",[86465],111.5 °C
12554,"Cyclobutanecarboxylic acid, 1-((4-chlorophenyl)sulfonyl)-, 1-methylethyl ester",[86466],76.2 °C
12555,"Cyclopentanecarboxylic acid, 1-((4-chlorophenyl)sulfonyl)-, 1-methylethyl ester",[86467],92.5 °C
12556,"Cyclobutanecarboxylic acid, 1-((4-methylphenyl)sulfonyl)-, ethyl ester",[93549],53.5 °C
12557,"Cyclobutanecarboxylic acid, 1-(phenylsulfonyl)-, methyl ester",[93582],107.5 °C
12558,"Cyclopentanecarboxylic acid, 1-(phenylsulfonyl)-, methyl ester",[86468],56.5 °C
12559,"Cyclohexanecarboxylic acid, 1-(phenylsulfonyl)-, methyl ester",[93583],114.5 °C
12560,4-Methylindole,[85282],5.0 °C
12561,Tricyclohexylmethane,[137109],48.0 °C
12562,Thiane,[15367],19.0 °C
12563,5Methoxy-2-nitroaniline,[85300],131.0 °C
12564,Diethyl dimethylmalonate,[15382],-30.4 °C
12565,"2,4-Dimethylbenzyl alcohol",[27809],22.0 °C
12566,3-Methylpyridazine,[74208],184.0 °C
12567,"Pyridine-3,4-dicarbonitrile",[74211],80.0 °C
12568,5-Chloro-2-nitroaniline,[74218],127.8 °C
12569,"1,1-Dimethylcyclopentane",[15421],-69.8 °C
12570,"2,3,3-Trimethylhexane",[28023],-116.8 °C
12571,"2,4,4-Trimethylhexane",[28024],-113.4 °C
12572,"3-Ethyl-2,2-dimethylpentane",[28026],-99.3 °C
12573,"Pentane, 2,3,3,4-tetramethyl-",[28028],-102.1 °C
12574,"Cyclopentane, 1-ethyl-1- methyl-",[28030],-143.8 °C
12575,"Benzene, 1,2,3-trichloro-4,5-dimethoxy-",[28049],66.0 °C
12576,Isobutylcyclohexane,[15508],-95.0 °C
12577,"Benzeneboronic acid, p-chloro-",[74299],286.5 °C
12578,6-Methyltetralin,[15514],-40.0 °C
12579,"Benzonitrile, 2,6-dimethoxy-",[85648],119.0 °C
12580,"2-Phenyl-4,5-dichloro-3-pyridazinone",[72813],162.0 °C
12581,"Benzenemethanol, 4-(dimethylamino)-",[137166],69.0 °C
12582,"3,5-Dimethyl-1,1'-biphenyl",[86927],22.5 °C
12583,7-Methylbenzofuran,[33105],109.0 °C
12584,"Phosphinic acid, diphenyl-",[15567],194.0 °C
12585,1-(Tert-butyl)naphthalene,[28252],-11.3 °C
12586,"Tropic acid, (+)-",[643328],118.0 °C
12587,"2,3-Dimethylquinoline",[15591],68.5 °C
12588,3-Chloro-6-methoxypyridazine,[74403],84.5 °C
12589,2-Chloropyrimidine,[74404],67.0 °C
12590,"1,2,3,6,7,8-Hexahydropyrene",[74417],133.0 °C
12591,Ethyldiphenylphosphine oxide,[74423],122.5 °C
12592,Pyrinoline,[3052765],147.0 °C
12593,4-Isopropyl-o-cresol,[74446],8.6 °C
12594,"Pentane, 1-(methylthio)-",[15620],-94.0 °C
12595,6-Chloro-1H-indole,[87111],90.0 °C
12596,4-Methyl-3-nitroanisole,[87137],17.0 °C
12597,"Cyclopentene, 4-methyl-",[15658],-160.8 °C
12598,2-Methyl-4(3H)-quinazolinone,[135400457],232.0 °C
12599,"Benzene, 1,1'-sulfinylbis(4-methyl- (9CI)",[15680],95.0 °C
12600,2-Amino-5-nitrobenzophenone,[15681],163.0 °C
12601,"s-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-triphenyl-",[15695],285.0 °C
12602,"Benzene, 1-ethyl-2,4,5-trimethyl-",[28812],-13.5 °C
12603,Mepixanox,[65687],159.5 °C
12604,"Benzimidazole, 2-methyl-5-nitro-",[74524],224.0 °C
12605,"1H-Benzimidazole, 2,5-dimethyl- (9CI)",[74525],203.0 °C
12606,3-Ethylthiophene,[74530],-89.1 °C
12607,3-Methoxyphenylacetic acid,[15719],72.0 °C
12608,"3,4-Dichlorobenzyl alcohol",[15728],36.0 °C
12609,Ethylidene dicoumarol,[54693115],178.0 °C
12610,Octadecan-3-one,[87532],51.0 °C
12611,Ethyl arachidate,[29009],50.0 °C
12612,Azintamide,[71105],97.0 °C
12613,Caroxazone,[29083],204.0 °C
12614,2-Ethylbenzimidazole,[15807],175.0 °C
12615,Tetramethyl orthocarbonate,[74613],-5.0 °C
12616,"Terephthalic acid, diisobutyl ester",[29218],55.0 °C
12617,"2,2-Diphenylacetyl chloride",[74637],56.5 °C
12618,Psicofuranine,[65086],212.0 °C
12619,3-Cyanobenzoic acid,[15875],219.0 °C
12620,"Acetic acid, (m-nitrophenyl)-",[15876],118.5 °C
12621,(p-Acetylphenoxy)acetic acid,[74655],176.0 °C
12622,beta-Phenylphenethyl alcohol,[74662],64.5 °C
12623,"Benzonitrile, 3,4,5-trimethoxy-",[15892],93.8 °C
12624,4-(Trifluoromethyl)benzamide,[74684],185.0 °C
12625,3-Phenanthrylamine,[74691],143.0 °C
12626,4-Propylresorcinol,[87874],82.5 °C
12627,"Borinic acid, dimethylthio-, methyl ester",[140484],-84.0 °C
12628,"Ethyl 2,4,5-trichlorophenoxyacetate",[15995],64.0 °C
12629,"Benzonitrile, 4-chloro-3,5-dinitro-",[16008],140.75 °C
12630,Taurolidine,[29566],156.0 °C
12631,"1-Bromo-2,6-dichlorobenzene",[29568],65.0 °C
12632,Moquizone,[63216],136.0 °C
12633,1-Ethylcyclohexanol,[16021],34.5 °C
12634,"Fluorene, 9-bromo-",[16024],103.5 °C
12635,5-Decyne,[16030],-73.0 °C
12636,"Methane, chlorotrinitro-",[519661],4.5 °C
12637,Methyl 3-hydroxybenzoate,[88068],73.0 °C
12638,5-Hydroxyindole,[16054],107.5 °C
12639,N-(4-Bromophenyl)urea,[16074],226.0 °C
12640,"1H-Indole, 1,2,3-trimethyl-",[74788],18.0 °C
12641,"Indoline, 6-nitro-",[29757],68.0 °C
12642,o-Bromoethylbenzene,[16089],-67.9 °C
12643,"1-Pentene, 3-ethyl-2-methyl-",[140591],-112.9 °C
12644,Heptadecylcyclohexane,[29777],38.0 °C
12645,"2,1,3-Benzothiadiazole, 4,5,7-trichloro-",[16117],122.0 °C
12646,Sulfasymazine,[16132],187.0 °C
12647,4-Bromophenylisothiocyanate,[16133],60.5 °C
12648,"Fluoren-9-one, 4-hydroxy-",[16139],250.0 °C
12649,Pentyl sulfoxide,[74806],58.0 °C
12650,3-Methyl-4-aminopyridine,[74811],108.5 °C
12651,Octyl thiocyanate,[29864],105.0 °C
12652,Xanthotoxol,[65090],251.5 °C
12653,"Hydantoin, 5,5-diphenyl-2,4-dithio-",[3032419],263.0 °C
12654,6-Cyanopurine,[74858],187.5 °C
12655,4-Bromostyrene,[16263],7.7 °C
12656,"Propane, 1,1,3-trichloro-",[33157],-59.0 °C
12657,"Acetophenone, 2',6'-dimethoxy-",[16267],69.0 °C
12658,"1-(2,4,5-Trimethylphenyl)ethan-1-one",[74878],10.5 °C
12659,Butylcyclopentane,[16269],-108.0 °C
12660,"Cyclopentane, propyl-",[16270],-117.3 °C
12661,"Benzonitrile, 2-bromo-",[16272],55.5 °C
12662,"1,3-Diethoxybenzene",[74899],12.4 °C
12663,7H-Benzo(c)carbazole,[67459],134.0 °C
12664,Diethyl pimelate,[16300],-24.0 °C
12665,Diethyl suberate,[16301],5.9 °C
12666,"(1,1'-Biphenyl)-3,3'-diamine",[74912],93.5 °C
12667,Diisopentyl oxalate,[74914],-9.0 °C
12668,5-Bromoacenaphthene,[74923],52.0 °C
12669,p-Isopropylstyrene,[74928],-44.7 °C
12670,N-Methylisatin,[16358],131.5 °C
12671,2-Octyn-1-ol,[140750],-18.0 °C
12672,4-Bromopyrazole,[16375],94.5 °C
12673,Resorantel,[65696],229.0 °C
12674,Decanoic anhydride,[74960],24.7 °C
12675,4-Amino-2-chlorobenzonitrile,[88728],118.0 °C
12676,"Benzene, 1-azido-4-bromo-",[75005],20.0 °C
12677,"1,2,4-Trifluoro-5-nitrobenzene",[75012],-11.0 °C
12678,"Cyclohexane, 1,1-dichloro-",[16425],-47.0 °C
12679,"1,1'-Biphenyl, 3-nitro- (9CI)",[16450],62.0 °C
12680,Guanylthiourea,[2724563],172.0 °C
12681,"Phosphine oxide, diphenylmethyl-",[75041],113.0 °C
12682,"Indole, 2,3,5-trimethyl-",[30584],121.5 °C
12683,"1,3,7-Trimethylnaphthalene",[16477],12.0 °C
12684,1-Chloro-4-isothiocyanatobenzene,[16480],46.0 °C
12685,"1,1'-Biphenyl, 4,4'-dimethoxy-",[16484],175.0 °C
12686,4-Isopropylcatechol,[16497],78.0 °C
12687,3-Isopropylcatechol,[16498],47.0 °C
12688,Ethylidenecyclopentane,[75068],-129.5 °C
12689,"Cyclopentene, 1-ethyl-",[137448],-118.5 °C
12690,2-Amino-6-chlorobenzoic acid,[75071],159.0 °C
12691,Fluorenone oxime,[16543],195.5 °C
12692,"3-Cyclohexene-1,1-dimethanol",[16544],88.5 °C
12693,"Butane, 1,1'-sulfinylbis-",[16568],32.6 °C
12694,"Dibenzo-p-dioxin, 1,2,4,6,7,9-hexabromo-3,8-dichloro-",[16578],385.0 °C
12695,Octabromodibenzo-p-dioxin,[16579],376.0 °C
12696,"1H-Indene, 2-methyl-",[16587],80.0 °C
12697,"2,4-Dimethyl-3-phenylpentane",[30803],-24.5 °C
12698,"2,3-Dimethyl-1,4-naphthoquinone",[16615],127.0 °C
12699,N-Benzoylalanine,"[71002, 709778]",165.5 °C
12700,"1-Hexyne, 5-methyl-",[137490],-125.0 °C
12701,Tiomesterone,[16626],205.5 °C
12702,Loprodiol,[71813],83.0 °C
12703,"2,4-Dimethylpent-1-ene",[16657],-124.1 °C
12704,Heptyl propionate,[16670],-50.9 °C
12705,Undecan-3-one,[75189],12.0 °C
12706,"1-Naphthylamine, 5,6,7,8-tetrahydro-",[16671],38.0 °C
12707,"2,3:6,7-Dibenzphenanthrene",[519935],257.0 °C
12708,"2,4-Dimethylstyrene",[16694],-64.0 °C
12709,Nonadecylcyclohexane,[89671],45.0 °C
12710,1-Acenaphthenone,[75229],121.0 °C
12711,3-Aminobenzonitrile,[16702],54.3 °C
12712,Pentamethylbenzoic acid,[75236],210.5 °C
12713,4-Phenoxybutyronitrile,[75238],45.5 °C
12714,"Hydrazine, 1-naphthalenyl-",[75240],117.0 °C
12715,3-Nitrobenzophenone,[75243],95.0 °C
12716,1-Naphthalenecarboxamide,[75244],205.8 °C
12717,"2,4,6-Trimethylquinoline",[75247],68.0 °C
12718,2-Methyl-1-naphthylamine,[16733],32.0 °C
12719,4-Fluoro-phenylpiperazine,[75260],31.5 °C
12720,"6-Ethyl-1,2,3,4-tetrahydronaphthalene",[31189],-70.0 °C
12721,"2,3,3-Trichloroacrylic acid",[16742],76.0 °C
12722,"3,4-Xylyl acetate",[89773],22.0 °C
12723,"1,3-Difluoro-5-nitrobenzene",[75272],17.0 °C
12724,"Acetophenone, 3-ethyl-",[31493],-20.0 °C
12725,5-Phenylvaleric acid,[16757],57.5 °C
12726,"Methanesulfonamide, N-phenyl-N-((1,1,2,2-tetrachloro-2-fluoroethyl)thio)- (9CI)",[89809],69.0 °C
12727,Oxyclozanide,[16779],210.0 °C
12728,Methyl 2-nitroimidazole-1-acetate,[89851],96.0 °C
12729,4-Methoxyphenylisothiocyanate,[75293],18.0 °C
12730,5-Undecyne,[137530],-74.1 °C
12731,"4,7-Phenanthroline",[67472],177.0 °C
12732,"Benzenepropanol, 4-hydroxy-3-methoxy- (9CI)",[16822],65.0 °C
12733,4-(Dodecyloxy)benzoic acid,[75330],95.0 °C
12734,1-tert-Butyl-3-nitrobenzene,[90005],2.0 °C
12735,N-Ethylsuccinimide,[16842],26.0 °C
12736,Bromosaligenin,[75342],113.0 °C
12737,"Benzoic acid, 3,4,5-triiodo-",[16857],292.5 °C
12738,4-(Trifluoromethyl)phenylacetonitrile,[75359],48.0 °C
12739,Tetradecan-2-one,[75364],33.5 °C
12740,"Berbaman, 6,6',7,12-trtramethoxy-2,2'-dimethyl-, (1beta)-(PM)- (9CI)",[73078],217.5 °C
12741,"Methyl 2,4-dimethylbenzoate",[32031],-2.0 °C
12742,"o-Cresol, 4-bromo-",[16896],64.7 °C
12743,"1,2,3,5-Tetrafluorobenzene",[16910],-48.0 °C
12744,Undecan-6-ol,[32045],25.0 °C
12745,4-Amino-3-hydroxybenzoic acid,[137566],213.0 °C
12746,3-Methoxy-4-hydroxyphenylethanol,[16928],41.0 °C
12747,9-Methylbenz(a)anthracene,[16930],152.0 °C
12748,8-Methylbenz(a)anthracene,[16933],156.5 °C
12749,p-Isopropyl-alpha-methylstyrene,[16952],-30.6 °C
12750,Hetolin,[74764],214.0 °C
12751,1-Phenyleicosane,[16975],44.0 °C
12752,6-Chloro-m-anisidine,[75460],27.0 °C
12753,"Benzaldehyde, 3-chloro-4-hydroxy- (8CI)(9CI)",[17022],139.0 °C
12754,"Acetamide, N,N-diethyl-2,2,2-trichloro-",[17071],27.0 °C
12755,Dimethyl(2-naphthyl)amine,[75527],52.5 °C
12756,"3,4-Dimethylquinoline",[17091],73.5 °C
12757,"2,2'-Dinitrobiphenyl",[75529],126.0 °C
12758,Ethyl(2-naphthyl)amine,[75530],236.0 °C
12759,"Acetamide, N-phenyl-N-propyl- (9CI)",[17098],49.0 °C
12760,Indan-5-amine,[90496],37.5 °C
12761,"4,4'-Dichlorodiphenyl ether",[17126],30.0 °C
12762,Formebolone,[17150],210.5 °C
12763,"Pyridine, 3,5-dichloro-",[17153],66.0 °C
12764,"2-Naphthalenecarboxylic acid, methyl ester",[137605],77.0 °C
12765,"2,3-Dihydroxybenzaldehyde",[90579],108.0 °C
12766,Pyracarbolid [ISO],[32597],110.5 °C
12767,"Benzene, 2,4-dinitro-1-phenoxy-",[75597],71.0 °C
12768,4-Amino-3-methylbenzoic acid,[75598],169.5 °C
12769,Medinoterb acetate [ISO],[305544],86.5 °C
12770,Androstane,[6857536],64.625 °C
12771,m-Formylbenzonitrile,[90670],76.5 °C
12772,"(1,1'-Biphenyl)-2-carbonitrile",[141162],41.0 °C
12773,"Benz(a)anthracene, 3-methyl-",[17254],156.5 °C
12774,2-(Chloromethyl)naphthalene,[75632],48.5 °C
12775,5-Aminopentan-1-ol,[75634],38.5 °C
12776,4-Ethoxybenzoic acid nitrile,[141176],61.5 °C
12777,"3,5-Dichlorotoluene",[32834],26.0 °C
12778,Cinnoline,[9208],38.0 °C
12779,Thiazafluron [BSI:ISO],[32921],136.5 °C
12780,Salicylamide O-acetic acid,[93086],221.0 °C
12781,"1,5-Naphthyridine",[136070],75.0 °C
12782,"1,2,4-Benzotriazene",[67491],75.8 °C
12783,7-Methylbenz(a)anthracene,[17347],141.0 °C
12784,2-Methoxybenzophenone,[75702],41.0 °C
12785,Ethyl 6-bromohexanoate,[117544],33.0 °C
12786,"Acetamide, 2,2,2-trichloro-N-phenyl- (9CI)",[17373],96.0 °C
12787,"3,4-Dimethylbenzophenone",[75730],47.5 °C
12788,Allylmalonic acid,[75748],105.0 °C
12789,Hept-3-yne,[75755],-130.5 °C
12790,Diflucortolone,"[11954369, 14445457, 18638632, 145705931]",242.0 °C
12791,Thioxanthine,[67495],128.5 °C
12792,"beta-benzalbutyramide, Z-",[20056479],133.0 °C
12793,Ethyl benzylcarbamate,[75801],49.0 °C
12794,Diphenylborinic acid,[17498],57.5 °C
12795,"5,8-Dimethylquinoline",[17502],4.5 °C
12796,6-Chrysenamine,[17534],210.5 °C
12797,"17alpha-Pregn-4-ene-3,11,20-trione",[222798],172.0 °C
12798,7-Methyltridecane,[33588],-37.2 °C
12799,"Malononitrile, benzylidene-",[17608],84.0 °C
12800,"1,2,4-Trimethylnaphthalene",[75933],55.5 °C
12801,Thiocholchicine,"[17648, 546854]",193.0 °C
12802,"2-Hexene, 2-methyl-",[17656],-130.4 °C
12803,Indolizine,[9230],75.0 °C
12804,3-Benzyl-1-methylthiourea,[2735489],75.0 °C
12805,Isopropyl phenyl ether,[75966],-33.0 °C
12806,Furan-2-acetic acid,[75974],68.5 °C
12807,Ethychlozate,[119653],77.0 °C
12808,"Benzene, 1,2-dichloro-4,5-dimethoxy-",[17713],83.0 °C
12809,Bicyclo(3.3.1)nonane,[136101],145.5 °C
12810,Diphenyloxazole,[168750],103.0 °C
12811,"Naphthalene, 1,2,3,4-tetrahydro-5-methyl-",[17768],-23.0 °C
12812,Oct-2-yne,[17769],-61.6 °C
12813,"2,4-Hexadiyne",[137727],67.8 °C
12814,"2,6-Difluorophenol",[94392],39.5 °C
12815,"Phenol, 2,3,4-trifluoro-",[123174],32.0 °C
12816,1H-Pyrazol-4-amine (9CI),[78035],81.0 °C
12817,(o-Chlorophenyl)acetonitrile,[76112],24.0 °C
12818,2-Bromo-5-chlorothiophene,[76133],-20.0 °C
12819,"Naphthalene, 2-(1,1-dimethylethyl)-",[17889],-4.0 °C
12820,Methyl naphthoate,[120056],59.5 °C
12821,"Cyclohexane, 1,1'-(2-methyl-1,3-propanediyl)bis-",[137756],0.6 °C
12822,Fenjuntong,[76157],10.0 °C
12823,Terofenamate,[65763],73.5 °C
12824,3-Chloro-1H-indazole,[95894],149.0 °C
12825,Lenthionine,[67521],60.5 °C
12826,Propatyl nitrate,[66261],51.5 °C
12827,Fluoresone [INN:DCF],[71814],41.0 °C
12828,"2,3-Dimethylanisole",[76269],29.0 °C
12829,"2,3-Dichlorodibenzo-4-dioxin",[34586],163.0 °C
12830,p-Tolylacetonitrile,[76280],18.0 °C
12831,Cyclam,[64964],185.0 °C
12832,"1,4-Dichloro-2-iodobenzene",[122452],22.0 °C
12833,"2,3-Dichlorophenoxyacetic acid",[18105],174.0 °C
12834,1-Naphthoxyacetic acid,[76313],196.0 °C
12835,Bulbocapnine,[12441],199.5 °C
12836,"2,5-Difluorobenzoic acid",[76339],133.0 °C
12837,3-Nitrobenzylidene di(acetate),[97678],72.0 °C
12838,Ethyl 2-naphthoate,[76363],32.0 °C
12839,4-Hydroxy-3-nitrobenzaldehyde,[18169],141.0 °C
12840,Piritramide [INN:BAN:DCF],[9331],149.5 °C
12841,Uredepa,[9332],89.0 °C
12842,"1,2,6-Trimethylnaphthalene",[76419],14.0 °C
12843,Ethyl hydroperoxide,[62472],-100.0 °C
12844,2-(Trifluoromethyl)phenylacetonitrile,[76435],33.0 °C
12845,"1H-Pyrrole, 2-phenyl- (9CI)",[72898],129.0 °C
12846,4-Chlorocyclohexanol,[34609],82.5 °C
12847,7-Bromoheptanoic acid,[121723],31.0 °C
12848,Clanobutin,[35378],115.5 °C
12849,Pivhydrazine,[9375],68.5 °C
12850,"Ether, bis(nonafluorobutyl)",[9390],-100.0 °C
12851,Arabinofuranosyluracil,"[1177, 6029, 18323, 9859650, 12219138, 45358305, 46780471, 57416896]",165.0 °C
12852,Cafaminol,[35685],105.0 °C
12853,"9H-Fluoren-9-one, 2-chloro-",[18354],125.5 °C
12854,8-Nonynoic acid,[35698],19.0 °C
12855,Isocarbamid [ISO],[35699],95.5 °C
12856,"Benzene, ((phenylmethyl)sulfonyl)-, (9CI)",[76561],146.0 °C
12857,Benzyl myristate,[3015540],20.5 °C
12858,"1H-Benzimidazole, 2-(trifluoromethyl)- (9CI)",[67560],209.5 °C
12859,Fluotrimazole [BSI:ISO],[91600],132.0 °C
12860,Octafluoronaphthalene,[67564],87.5 °C
12861,"2,3-Dibromothiophene",[76590],-17.5 °C
12862,"3,4-Dibromothiophene",[18452],4.5 °C
12863,"3,3-Dimethylpentane-2,4-dione",[76595],19.0 °C
12864,Phenbutamide,[18466],131.0 °C
12865,"1,3,5-Trifluoro-2-nitrobenzene",[67567],3.5 °C
12866,4-Nitrophenylgalactoside,[65115],188.75 °C
12867,3-(4-Methoxybenzoyl)propionic acid,[76613],149.0 °C
12868,"Hydroperoxide, (1,4-phenylenebis(1-methylethylidene))bis-",[201059],141.0 °C
12869,4-Nitroresorcinol,[76623],122.0 °C
12870,Etofibrate,[65777],100.0 °C
12871,8-Nonenoic acid,[35860],5.0 °C
12872,"2-Oxetanone, 3,3-dimethyl-4-(1-methylethylidene)- (9CI)",[96433],-18.0 °C
12873,tert-Butylcyclohexane,[18508],-41.2 °C
12874,Morclofone,[35949],91.5 °C
12875,3-Methylcyclohex-3-en-1-one,[520546],-21.0 °C
12876,1-(2-Furyl)propan-1-one,[76662],28.0 °C
12877,Nicofibrate,[65778],48.5 °C
12878,2-Fluoroanisole,[67576],-39.0 °C
12879,(-)-Pseudoephedrine,[62946],90.5 °C
12880,7-(Trifluorophenyl)quinolin-4-ol,[67582],267.5 °C
12881,Sobrepin,"[36089, 854498]",130.5 °C
12882,"Phenol, 2-isopropyl-6-methyl-",[18598],-14.5 °C
12883,Pentaerythrityl tetrachloride,[76700],97.0 °C
12884,2-Fluoronaphthalene,[67583],61.0 °C
12885,4-Fluorobiphenyl,[9461],74.2 °C
12886,Doxenitoin [INN:DCF],[18622],183.0 °C
12887,3-Chloro-o-cresol,[14856],86.0 °C
12888,"alpha-Bromobutyric acid, (S)-",[638123],-4.0 °C
12889,"Indoline, 5-nitro-",[36219],93.0 °C
12890,"1,2,4,5-Tetrafluorobenzene",[9474],4.5 °C
12891,Picotamide,[4814],124.0 °C
12892,Dimethylphosphinic acid,[76777],92.0 °C
12893,Rimiterol,"[36283, 431097, 46886609]",203.5 °C
12894,"Benzene, 1-azido-4-chloro-",[76803],20.0 °C
12895,Undecan-5-one,[98677],2.0 °C
12896,4-Nitrocatechol,[3505109],175.0 °C
12897,"1,2-Dicyclohexylethane",[76838],11.5 °C
12898,"Benzoic acid, 3,5-dichloro-4-hydroxy-",[18749],265.0 °C
12899,"Decanoic acid, 10-fluoro-",[9542],49.0 °C
12900,"Decanol, 10-fluoro-",[9546],22.0 °C
12901,Fluothiuron [ISO],[36478],113.5 °C
12902,Cyclononanone,[76877],34.0 °C
12903,"Cyclohexene, 1,2-dichlorooctafluoro-",[67641],-70.0 °C
12904,Nifurfoline,"[71126, 6436115, 9571068]",206.0 °C
12905,"3,5-Dichloroanisole",[36588],41.0 °C
12906,(3-Chloropropoxy)benzene,[76917],12.0 °C
12907,Cyclopentane carboxylic acid,[18840],-7.0 °C
12908,p-(p-Nitrophenoxy)toluene,[76943],69.0 °C
12909,"2',3'-Dideoxythymidine",[65119],155.5 °C
12910,Isomaltol,[18898],100.0 °C
12911,"Pyrimidine, 4-phenyl-",[18923],56.0 °C
12912,"4,4'-Difluorobenzophenone",[9582],103.5 °C
12913,4-Ethylstyrene,[18940],-49.7 °C
12914,"1,4-Dibromo-2-nitrobenzene",[77004],85.5 °C
12915,4-Iodopyrazole,[77022],109.0 °C
12916,Cyclopropyl phenyl ketone,[77029],-7.9 °C
12917,Quinoline-3-carbonitrile,[93177],109.0 °C
12918,"Pentane, 2,2-dichloro-",[141934],128.5 °C
12919,N-(3-Fluorophenyl)acetamide,[9594],83.0 °C
12920,"Acetamide, N-(3-(trifluoromethyl)phenyl)- (9CI)",[9595],104.5 °C
12921,4-Fluoroacetanilide,[9601],154.0 °C
12922,"2,6-Dimethylpyridin-4-amine",[77047],192.5 °C
12923,3-Cyclopentylpropene,[77059],-110.7 °C
12924,Thiochroman-4-one,[19048],29.0 °C
12925,8-Fluorooctanoic acid,[9616],35.0 °C
12926,Butyrohydrazide,[77079],45.5 °C
12927,1-(2-Methoxyphenyl)piperazine,[1346],38.5 °C
12928,3-Aminobenzamide,[1645],115.5 °C
12929,4-Aminophenylacetonitrile,[77000],46.0 °C
12930,Iproclozide [INN:BAN:DCF],[19063],93.5 °C
12931,1-Pentanesulfonic acid,[89827],15.9 °C
12932,Perfluoroisohexane,[67726],-119.0 °C
12933,Nicoform,[77116],141.5 °C
12934,4-Cyanoacetanilide,[37256],207.0 °C
12935,Anot,[19141],199.0 °C
12936,Clefamide,[71819],136.0 °C
12937,"Silane, diethyldifluoro-",[67748],-78.7 °C
12938,Hexapropymate [INN:BAN:DCF],[9661],99.0 °C
12939,"4,5-Dimethylthiazole",[62510],83.5 °C
12940,Phenyl propenyl ketone,[231934],20.5 °C
12941,Difluoroethanol,[136187],-28.2 °C
12942,Trichlorofluoroethylene,[71084],-108.9 °C
12943,Perfluorotriethylamine,[78986],-110.0 °C
12944,Acetyl sulfamethoxypyrazine,[19175],199.0 °C
12945,Benzo(b)thiophene-4-ol,[19217],79.8 °C
12946,"9,10-Dibenzylanthracene",[77160],246.5 °C
12947,p-Toluohydrazide,[77174],117.0 °C
12948,"2,4,6-Trifluoroaniline",[67765],35.0 °C
12949,Propyl stearate,[77190],28.9 °C
12950,"Cyclopropane, (1-methylethyl)-",[137995],-112.9 °C
12951,"9,10-Dihydroxystearic acid, erythro-",[12235229],90.0 °C
12952,"2,5-Difluoronitrobenzene",[67767],-11.7 °C
12953,"5,6,7,8-Tetrahydroisoquinoline",[119010],146.5 °C
12954,11-Hydroxyundecanoic acid,[77237],65.5 °C
12955,Quazepam,[4999],138.25 °C
12956,"Phenanthrene, 9-ethyl- (8CI)(9CI)",[19352],62.5 °C
12957,2-Chloro-4-methylpyridine,[77248],115.0 °C
12958,Bromosalicylchloranilide,[77254],240.5 °C
12959,"Silane, phenyltrifluoro-",[9712],-18.0 °C
12960,"2,4,6-Tris(trifluoromethyl)-sym-triazine",[9715],-24.8 °C
12961,"Arsine, difluorophenyl-",[9716],42.0 °C
12962,Codeine N-oxide,"[5359929, 10470963, 19073920, 71314936]",231.5 °C
12963,Buzepide,[77274],142.5 °C
12964,"4-Ethyl-2,6-dimethylpyridine",[37580],97.0 °C
12965,3-Nitro-o-phenylenediamine,[4359525],158.0 °C
12966,"5,6-Dimethylchrysene",[19429],129.3 °C
12967,"Benzoic acid, 4-amino-, nonyl ester",[12250027],69.0 °C
12968,"1,3-Difluorobenzene",[9741],-69.0 °C
12969,3-Fluoroaniline,[9742],-5.0 °C
12970,3-Fluorophenol,[9743],13.7 °C
